cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,18484,Restauração do Centro Cultural do Tribunal de Justiça do Estado do Acre,AC,911800.0,2006
191,Banco do Brasil S.A,35428,As Turca,SP,24819.3,2006
191,Banco do Brasil S.A,35654,Teorema ,RJ,60000.0,2006
191,Banco do Brasil S.A,40845,Soto: A Construção da Imaterialidade,RJ,68582.49,2006
191,Banco do Brasil S.A,41784,Stockinger - 85 Anos,RS,89621.58,2006
191,Banco do Brasil S.A,44670,Antoni Tápies - Rio de Janeiro e Brasília,SP,447087.09,2006
191,Banco do Brasil S.A,45040,Henry Moore no Brasil - Uma Retrospectiva,SP,63019.0,2006
191,Banco do Brasil S.A,45190,Henfil do Brasil,RJ,109157.04,2006
191,Banco do Brasil S.A,45766,Inéditos no Rio 2005,RJ,27500.0,2006
191,Banco do Brasil S.A,45769,Um Século de Arte Cubana / SP,RJ,1038254.44,2006
191,Banco do Brasil S.A,46507,Soy Loco Por Ti América,RJ,826122.0,2006
191,Banco do Brasil S.A,50128,O pescador e sua alma,RJ,210225.0,2006
191,Banco do Brasil S.A,50257,Savina,RJ,244000.0,2006
191,Banco do Brasil S.A,50277,Besouro Cordão-de-Ouro,RJ,98250.0,2006
191,Banco do Brasil S.A,50361,Um Rastro de Luz,RJ,171494.0,2006
191,Banco do Brasil S.A,50519,"Gafieiras, orquestras populares brasileiras
",RJ,10000.0,2006
191,Banco do Brasil S.A,50797,Rita Formiga,RJ,250000.0,2006
191,Banco do Brasil S.A,510032,"Meu Amigo Tom, Ao Meu Amigo Radamés (Ao)",RJ,90000.0,2006
191,Banco do Brasil S.A,510063,Do Velho Chico ao Mississipi,SP,86250.0,2006
191,Banco do Brasil S.A,510069,Pensamentos instigantes,SP,242172.34,2006
191,Banco do Brasil S.A,510320,Música Sacra e de Devoção,SP,127500.0,2006
191,Banco do Brasil S.A,510327,Intervalos musicais Especial,SP,97780.0,2006
191,Banco do Brasil S.A,510366,Divas,SP,224055.0,2006
191,Banco do Brasil S.A,51065,Brasília Plena : 45 fotógrafos em 45 horas,DF,10000.0,2006
191,Banco do Brasil S.A,51391,Leitor por horas,RJ,75600.0,2006
191,Banco do Brasil S.A,51753,Música na Arte da Sedução ( A ),RJ,15000.0,2006
191,Banco do Brasil S.A,53042,Não Te Esqueças ,PR,5295.0,2006
191,Banco do Brasil S.A,53414,13 Festival Mix Brasil de Cinema e Video da Diversidade Sexual,SP,99750.0,2006
191,Banco do Brasil S.A,53648,Madame de Sade,SP,32881.18,2006
191,Banco do Brasil S.A,53683,Toda  nudez será castigada,RJ,212220.0,2006
191,Banco do Brasil S.A,53979,Erótica - O Sentido nas Artes,SP,579400.0,2006
191,Banco do Brasil S.A,54012,E Tudo Verdade Festival Internacional de Documentarios 11,SP,142200.0,2006
191,Banco do Brasil S.A,54263,Seminário Representações da Violência,SP,10000.0,2006
191,Banco do Brasil S.A,54264,Mostra Cinema Argentino,SP,67500.0,2006
191,Banco do Brasil S.A,54365,Novas Orquestras,RJ,146058.49,2006
191,Banco do Brasil S.A,54619,Panorama do Violão,RJ,165145.01,2006
191,Banco do Brasil S.A,54729,Futebol - Desenho Sobre o Fundo Verde,RJ,324000.0,2006
191,Banco do Brasil S.A,54882,Mostra do Filme Livre ,RJ,43750.0,2006
191,Banco do Brasil S.A,55327,11º Festival Brasileiro de Cinema Universitário ,RJ,69673.8,2006
191,Banco do Brasil S.A,55735,Cassino Coração,RJ,69000.0,2006
191,Banco do Brasil S.A,56143,Todas as Mães do Mundo,RJ,50000.0,2006
191,Banco do Brasil S.A,56222,Geografia carioca do samba - Show no CCBB-RJ,RJ,80000.0,2006
191,Banco do Brasil S.A,56496,Mozart mais,RJ,15000.0,2006
191,Banco do Brasil S.A,56646,Cinédia 75 Anos ,RJ,30000.0,2006
191,Banco do Brasil S.A,56679,Radamés Gnatalli - 100 anos,DF,225000.0,2006
191,Banco do Brasil S.A,56941,Ação Educativa Para a Exposição Arte Cubana,SP,70000.0,2006
191,Banco do Brasil S.A,57064,Programa Educativo 2006,RJ,530981.64,2006
191,Banco do Brasil S.A,57071,Samba Guardado,RJ,39498.1,2006
191,Banco do Brasil S.A,57094,Encontro com o Cinema Brasileiro - Brasília,RJ,97500.0,2006
191,Banco do Brasil S.A,57112,Encontro com o Cinema Brasileiro - São Paulo,RJ,31250.0,2006
191,Banco do Brasil S.A,57113,Encontro com o Cinema Brasileiro - Rio de Janeiro,RJ,87500.0,2006
191,Banco do Brasil S.A,57207,Projeto Sintonia Musical,RJ,140000.0,2006
191,Banco do Brasil S.A,57212,Manobras Radicais - São Paulo,RJ,388000.0,2006
191,Banco do Brasil S.A,57343,Hedda Gabler,RJ,148250.0,2006
191,Banco do Brasil S.A,57367,Mostra Melhores do Ano,RJ,26250.0,2006
191,Banco do Brasil S.A,57428,Mostra Maurice Capovilla,SP,51000.0,2006
191,Banco do Brasil S.A,57475,Peça de elevador,SP,200000.0,2006
191,Banco do Brasil S.A,57478,MPBC - Música popular brasileira contenporânea,RJ,541230.0,2006
191,Banco do Brasil S.A,57512,Copa-Cozinha,RJ,111970.0,2006
191,Banco do Brasil S.A,57562,Escalpo Carioca e Outras Canções,RJ,170000.0,2006
191,Banco do Brasil S.A,57583,"Arte de Cuba, sua música",RJ,488918.57,2006
191,Banco do Brasil S.A,58234,Bambambans,RJ,163737.0,2006
191,Banco do Brasil S.A,58513,Exposição Anish Kapoor,SP,1361211.4,2006
191,Banco do Brasil S.A,58517,Barroco / Aleijadinho,SP,708420.73,2006
191,Banco do Brasil S.A,58857,Montagem no Cinema (A),SP,45000.0,2006
191,Banco do Brasil S.A,58990,Inéditos em Brasília 2006,RJ,39400.0,2006
191,Banco do Brasil S.A,59298,Seis Séculos de Arte da Gravura,SP,362754.64,2006
191,Banco do Brasil S.A,59375,CCBB Centro de Expressão e Construção,SP,218870.0,2006
191,Banco do Brasil S.A,59506,Afro Reggae DVD,RJ,180000.0,2006
191,Banco do Brasil S.A,59561,Seleção Brasil em Cena,RJ,70027.24,2006
191,Banco do Brasil S.A,59879,Dramaturgias 2006,SP,160000.0,2006
191,Banco do Brasil S.A,60016,Cronicamente viável,SP,65000.0,2006
191,Banco do Brasil S.A,60038,Caminhos da música - encontros de formação de platéia,SP,144000.0,2006
191,Banco do Brasil S.A,60066,Suzuki - O Coreógrafo da Violência,DF,59097.52,2006
191,Banco do Brasil S.A,60077,Nação Farkas - A Aventura Documental de Thomaz Farkas,DF,27733.32,2006
191,Banco do Brasil S.A,60108,Jackson do Coco Forró Samba e Pandeiro,RJ,136250.0,2006
191,Banco do Brasil S.A,60142,Agnes Varda o Movimento Perpetuo do Olhar ,RJ,165000.0,2006
191,Banco do Brasil S.A,60146,Cinema Vê o Futuro,SP,57000.0,2006
191,Banco do Brasil S.A,60176,Outono e inverno,RJ,184875.0,2006
191,Banco do Brasil S.A,60179,Momentos Decisivos do Teatro Brasileiro,RJ,51500.0,2006
191,Banco do Brasil S.A,60182,Mostra estudantil de teatro,RJ,80000.0,2006
191,Banco do Brasil S.A,60186,Rapsódias Brasileiras,RJ,106138.04,2006
191,Banco do Brasil S.A,60252,Laboratório do escritor (O),RJ,64000.0,2006
191,Banco do Brasil S.A,60424,Hyperbolikos - Cia Corpos Nômades,SP,39000.0,2006
191,Banco do Brasil S.A,60774,Caminhos da Música - Encontros de Formação de Platéia,SP,60000.0,2006
191,Banco do Brasil S.A,60856,História de Arte: Expressões Atuais,RJ,50000.0,2006
191,Banco do Brasil S.A,60926,Festival Internacional de Londrina - FILO,PR,313291.86,2006
191,Banco do Brasil S.A,61009,Maratona Quintana,RJ,36500.0,2006
191,Banco do Brasil S.A,610593,Orquestra no Parque do Ibirapuera,SP,315800.0,2006
191,Banco do Brasil S.A,61099,Ação Educativa para a Exposição Por Ti América,SP,141117.0,2006
191,Banco do Brasil S.A,61187,Molly Sweeney,RJ,260000.0,2006
191,Banco do Brasil S.A,61277,Cova rasa,RJ,80000.0,2006
191,Banco do Brasil S.A,61289,Programa Educativo - Artes Visuais - 2006,DF,384723.32,2006
191,Banco do Brasil S.A,61420,Corpo oral,RJ,40000.0,2006
191,Banco do Brasil S.A,61464,Festival Internacional de Animação do Brasil Anima Mundi 2006 2007,RJ,209765.7,2006
191,Banco do Brasil S.A,61536,Lé Com Crê - Encontro Musicais Para Adultos e Crianças,RJ,31563.48,2006
191,Banco do Brasil S.A,61545,Alta Tensão,SP,86000.0,2006
191,Banco do Brasil S.A,61608,Morte e a vida em debate (A),SP,110000.0,2006
191,Banco do Brasil S.A,61611,Eternos Tesouros do Japão,PR,1000000.0,2006
191,Banco do Brasil S.A,61648,Schumann 150 anos (1810 - 1856),RJ,90000.0,2006
191,Banco do Brasil S.A,61704,Aniversário do CCBB - Projeto de música/Artes cênicas,SP,120162.0,2006
191,Banco do Brasil S.A,61725,Dança em pauta - Brasília,SP,326502.0,2006
191,Banco do Brasil S.A,61752,Aniversario do CCBB SP Projeto Cinema Artes Plasticas,SP,91370.0,2006
191,Banco do Brasil S.A,61798,Lado a lado com Sondheim - Turnê,RJ,224306.09,2006
191,Banco do Brasil S.A,61838,Japão Pop,SP,71500.0,2006
191,Banco do Brasil S.A,61876,Renato Russo - A Peça (Título Provisório),RJ,86303.0,2006
191,Banco do Brasil S.A,62006,Irlandeses - A Literatura de James Joyce e o Cinema de Conflito Os,DF,17942.5,2006
191,Banco do Brasil S.A,62031,Diálogos e reflexões - Encontros com a arte,SP,151300.0,2006
191,Banco do Brasil S.A,62106,Encontros Rio-Orleans,RJ,143000.0,2006
191,Banco do Brasil S.A,62114,Bossa B (A),RJ,267800.0,2006
191,Banco do Brasil S.A,62343,Mostra do Audiovisual Paulista (20),SP,25000.0,2006
191,Banco do Brasil S.A,62409,Hay Que Reirse Mostra da Comédia Cubana,SP,43200.0,2006
191,Banco do Brasil S.A,62416,Cena Contemporânea - Festival Internacional de Teatro de Brasília 2006,DF,124000.0,2006
191,Banco do Brasil S.A,62459,No ritmo das fábulas,DF,87000.0,2006
191,Banco do Brasil S.A,62594,Série de concertos Mozart,DF,180000.0,2006
191,Banco do Brasil S.A,62751,Vertentes Literárias,SP,78172.32,2006
191,Banco do Brasil S.A,62868,Picasso: Paixão e Erotismo / Circuito Cultural do Banco do Brasil,SP,473742.11,2006
191,Banco do Brasil S.A,62961,Festival de Teatro na Escola - Ano 2006,DF,50000.0,2006
191,Banco do Brasil S.A,62998,Samba-Rock e Outros Enredos (O),SP,50690.0,2006
191,Banco do Brasil S.A,63038,Faces de John Cassavetes,RJ,64000.0,2006
191,Banco do Brasil S.A,63428,Futebol Arte ,SP,28000.0,2006
191,Banco do Brasil S.A,63535,Samba de breque e outras bossas,RJ,180000.0,2006
191,Banco do Brasil S.A,63563,Festival Brasília do Cinema Brasileiro 39º,DF,50000.0,2006
